Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Generic Par 64,CP62,1000W,,,886,,4.22,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"8,332m","4,076m","4,620m","-90,0°","-0,0°","-90,0°",-90°,89°,No,,,No,,,963b4877-3422-48bb-a7a9-5ed5819c883d,
Generic Par 64,CP62,1000W,,,887,,4.23,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"8,332m","4,076m","5,000m","-90,0°","-0,0°","-90,0°",-90°,89°,No,,,No,,,5e815808-f7e6-4116-8daf-e7019b5b9b44,
Generic Par 64,CP62,1000W,,,888,,4.24,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"8,332m","4,076m","5,380m","-90,0°","-0,0°","-90,0°",-90°,89°,No,,,No,,,b20b7bce-b6f4-4a06-9cb1-394008449b53,
Generic Par 64,CP62,1000W,,,891,,4.25,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"7,460m","4,663m","2,720m","-90,0°","0,0°","-90,0°",-90°,89°,No,,,No,,,f2ea0095-e9ee-44f7-bf89-74bf622c40c0,
Generic Par 64,CP62,1000W,,,892,,4.26,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"7,460m","4,663m","3,100m","-90,0°","0,0°","-90,0°",-90°,89°,No,,,No,,,7b1bba10-6b1b-42ba-b639-f2c2e27395ab,
Generic Par 64,CP62,1000W,,,893,,4.27,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"7,460m","4,663m","3,480m","-90,0°","0,0°","-90,0°",-90°,89°,No,,,No,,,68536901-6a18-4e47-b733-300e185f4807,
Generic Par 64,CP62,1000W,,,894,,4.28,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"7,460m","4,663m","3,860m","-90,0°","0,0°","-90,0°",-90°,89°,No,,,No,,,deb14b54-e034-46fc-89ec-3bd01c6d21df,
Generic Par 64,CP62,1000W,,,895,,4.29,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"7,460m","4,663m","4,240m","-90,0°","0,0°","-90,0°",-90°,89°,No,,,No,,,9b34edf1-d595-40a7-8e21-967bef6971bf,
Generic Par 64,CP62,1000W,,,896,,4.30,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"7,460m","4,663m","4,620m","-90,0°","0,0°","-90,0°",-90°,89°,No,,,No,,,e4646db0-5c7f-44b2-9ff2-dc54574ec1f0,
Generic Par 64,CP62,1000W,,,897,,4.31,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"7,460m","4,663m","5,000m","-90,0°","0,0°","-90,0°",-90°,89°,No,,,No,,,b7021c64-b420-4e1c-932c-87112054fd70,
Generic Par 64,CP62,1000W,,,898,,4.32,Control,1,L_Houselight-Dimmer,,,,,,,"1,8kg",,"7,460m","4,663m","5,380m","-90,0°","0,0°","-90,0°",-90°,89°,No,,,No,,,53fa4afc-920d-4a8a-864f-da639044b5b3,
MDG ATMe,,715W,,,0,,,Standard Mode,3,ALL HAZE,,,,,,,"16,8kg",,"6,679m","0,499m","-9,795m",0°,0°,0°,0°,0°,No,,,No,,,b82f9f38-dc80-4353-a054-32d4398712d0,
Robe Robin Spiider,5° - 47°,660W,,,322,18,10.275,6 Pattern [Colour Mixing Mode=RGBW],47,LX3-SPIIDER,,,,,,,"13,3kg",LX_2,"-0,679m","7,137m","-5,256m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,665651e7-258f-4e9b-81fc-ee16f4576f3d,
Robe Robin Spiider,5° - 47°,660W,,,323,18,10.322,6 Pattern [Colour Mixing Mode=RGBW],47,LX3-SPIIDER,,,,,,,"13,3kg",LX_2,"0,654m","7,137m","-5,256m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,0b144ac8-6ff0-46d3-83a9-e2739dfe85b7,
Robe Robin Spiider,5° - 47°,660W,,,121,18,8.228,6 Pattern [Colour Mixing Mode=RGBW],47,LX1-SPIIDER,,,,,,,"13,3kg",Pont de face,-2m,"7,162m","-1,768m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,a81da88f-0a82-4747-8354-a62b0cadc690,
Robe Robin Spiider,5° - 47°,660W,,,124,18,8.369,6 Pattern [Colour Mixing Mode=RGBW],47,LX1-SPIIDER,,,,,,,"13,3kg",Pont de face,2m,"7,162m","-1,784m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,222e1f6c-2e26-4039-b4b2-93c57e32c644,
Robe Robin Spiider,5° - 47°,660W,,,122,18,8.275,6 Pattern [Colour Mixing Mode=RGBW],47,LX1-SPIIDER,,,,,,,"13,3kg",Pont de face,"-0,667m","7,137m","-1,772m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,a193c9d5-ee02-4084-8cd5-a75361438817,
Robe Robin Spiider,5° - 47°,660W,,,123,18,8.322,6 Pattern [Colour Mixing Mode=RGBW],47,LX1-SPIIDER,,,,,,,"13,3kg",Pont de face,"0,667m","7,137m","-1,772m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,23b7a402-09be-46f2-bad9-5be2c7697122,
Robe Robin Spiider,5° - 47°,660W,,,321,18,10.228,6 Pattern [Colour Mixing Mode=RGBW],47,LX3-SPIIDER,,,,,,,"13,3kg",LX_2,"-2,013m","7,162m","-5,258m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,49358b08-6c79-4c61-9b89-9f0924705271,
Robe Robin Spiider,5° - 47°,660W,,,324,18,10.369,6 Pattern [Colour Mixing Mode=RGBW],47,LX3-SPIIDER,,,,,,,"13,3kg",LX_2,"1,987m","7,162m","-5,258m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,9ea86507-34fc-482c-84d8-91e5fc656b71,
Robe Robin Spiider,5° - 47°,660W,,,703,22,5.133,6 Pattern [Colour Mixing Mode=RGBW],47,LVB1-SPIIDER,,,,,,,"13,3kg",Loge inférieure,"-5,516m","0,771m","2,480m","-180,0°",0°,0°,-180°,179°,No,0°,0°,No,0°,0°,4115938c-8828-4870-812d-c10d0b0b86c0,
Robe Robin Spiider,5° - 47°,660W,,,803,22,5.180,6 Pattern [Colour Mixing Mode=RGBW],47,LVB2-SPIIDER,,,,,,,"13,3kg",Loge inférieure,"5,516m","0,772m","2,468m","-180,0°",0°,0°,-180°,179°,No,0°,0°,No,0°,0°,84553ed5-ff75-427a-a390-3b8c92faf985,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,710,21,5.89,3 16-Bit RGBAL 1.5,22,LVB1_T11,,,,,,,"15,7kg",Pont de lumière,"-3,816m","4,967m","14,540m","74,9°","-2,6°","9,6°",9°,74°,No,,,No,,,39c3daee-2b85-4dd2-857d-867ec20e5694,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,810,21,5.111,3 16-Bit RGBAL 1.5,22,LVB1_T11,,,,,,,"15,7kg",Pont de lumière,"4,412m","4,967m","14,699m","74,7°","2,8°","-10,0°",-10°,74°,No,,,No,,,fcb20af4-20ec-4c3f-a780-3fcae5508f3b,
Panasonic PT-RQ13K,ET-D75LE6,1270W,,,999,,16.1,Control,1,LX6-PROJECTOR,,,,,,,49kg,LX_5,"0,066m","4,046m","-22,136m","88,9°","0,6°","-179,9°",-179°,91°,No,,,No,,,916de3d1-0132-434f-8a40-2ea4b014aaae,
Generic Omnidirectional Bulb,,0W,,,901,26,4.33,Dimmer,1,MOTION_SCENE 1,,,,,,,0kg,Fourneau,"-3,040m","1,141m","-7,462m",0°,0°,0°,0°,0°,,,,,,,57bc7743-afae-4aa4-a0d1-daeebc15abc8,
Generic Omnidirectional Bulb,,0W,,,902,26,4.34,Dimmer,1,MOTION_SCENE 1,,,,,,,0kg,Fourneau,"-2,725m","1,238m","-7,570m",0°,0°,0°,0°,0°,,,,,,,8c062e9a-6a28-4b05-a61e-0cb63940af20,
Generic Omnidirectional Bulb,,0W,,,903,26,4.35,Dimmer,1,MOTION_SCENE 1,,,,,,,0kg,Fourneau,"-2,786m","1,238m","-7,923m",0°,0°,0°,0°,0°,,,,,,,5001cf30-f5e9-4bdf-95eb-c0c1ee7192bb,
Generic Omnidirectional Bulb,,0W,,,904,26,4.36,Dimmer,1,MOTION_SCENE 1,,,,,L106,,0kg,Fourneau,"-2,914m","1,238m","-7,726m",0°,0°,0°,0°,0°,,,,,,,e3d7e659-212b-4538-bf9d-6bd0ef657a97,
Generic Omnidirectional Bulb,,0W,,,905,26,4.37,Dimmer,1,MOTION_SCENE 1,,,,,L106,,0kg,Fourneau,"-2,532m","1,198m","-7,732m",0°,0°,0°,0°,0°,,,,,,,6c511a2e-d4f9-43a7-92e0-b72eabb5811f,
Vari-Lite VL3500Q Spot,10° - 56°,1600W,,,601,,13.1,16-Bit Enhanced,31,,,,,,,,43kg,LX_5,"-4,295m","4,230m","-22,173m",-180°,"0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,bdd7fc09-f660-4632-a2d9-528bfa039376,
Vari-Lite VL3500Q Spot,10° - 56°,1600W,,,602,,13.32,16-Bit Enhanced,31,,,,,,,,43kg,LX_5,"-1,675m","4,230m","-22,173m",-180°,"0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,6fe05ff7-032d-457c-94a2-bc8ab061e6d8,
Vari-Lite VL3500Q Spot,10° - 56°,1600W,,,603,,13.63,16-Bit Enhanced,31,,,,,,,,43kg,LX_5,"1,582m","4,230m","-22,133m",-180°,"-0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,b2ffe41b-0986-44ee-a9b4-f3868810132e,
Vari-Lite VL3500Q Spot,10° - 56°,1600W,,,604,,13.94,16-Bit Enhanced,31,,,,,,,,43kg,LX_5,"3,907m","4,230m","-22,133m",-180°,"-0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,4cb4ec97-cdd6-4168-8531-511eb2d95c65,
Vari-Lite VL3000 Wash,14° - 60°,1600W,,,611,,13.125,16-Bit Enhanced,16,,,,,,,,34kg,LX_5,"-2,963m","4,218m","-22,169m",-180°,"0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,ed404aae-ee24-42c5-a8aa-16428c6b1d9c,
Vari-Lite VL3000 Wash,14° - 60°,1600W,,,612,,13.141,16-Bit Enhanced,16,,,,,,,,34kg,LX_5,"2,745m","4,218m","-22,133m",-180°,"-0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,2f5fcdf8-6060-4e7e-bc07-9f1ad2517f2f,
