Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,822,"6, 14",7.101,3 16-Bit RGBAL 1.5,22,LB2.2-T11,,,,,,,"15,7kg",Boom R_2,"5,121m","1,606m","-3,816m","90,1°","0,0°","-90,4°",-90°,89°,No,,,No,,,3e4e08f4-7a94-47e7-9308-6900c83f8a94,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,834,"7, 9",7.228,3 16-Bit RGBAL 1.5,22,LB2.3-T11,,,,,,,"15,7kg",Boom R_3,"5,099m","0,367m","-5,458m","90,2°","-0,8°","-90,5°",-90°,90°,No,,,No,,,77808621-9a84-49e7-a696-6794d8e48e7d,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,833,"7, 12",7.206,3 16-Bit RGBAL 1.5,22,LB2.3-T11,,,,,,,"15,7kg",Boom R_3,"5,099m","1,043m","-5,457m","90,0°","-0,0°","-90,0°",-89°,90°,No,,,No,,,946a2941-b5f0-49d6-a285-4c94548fae8b,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,832,"7, 14",7.184,3 16-Bit RGBAL 1.5,22,LB2.3-T11,,,,,,,"15,7kg",Boom R_3,"5,100m","1,606m","-5,458m","90,1°","0,0°","-90,4°",-90°,89°,No,,,No,,,a35d9aec-eaa8-4ac7-9160-6c4db6311a7b,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,844,"8, 9",7.311,3 16-Bit RGBAL 1.5,22,LB2.4-T11,,,,,,,"15,7kg",Boom R_4,"5,145m","0,367m","-7,736m","90,2°","-0,8°","-90,5°",-90°,90°,No,,,No,,,74ea6460-3899-492a-9d4d-a0443e40bbf3,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,843,"8, 12",7.289,3 16-Bit RGBAL 1.5,22,LB2.4-T11,,,,,,,"15,7kg",Boom R_4,"5,145m","1,043m","-7,735m","90,0°","-0,0°","-90,0°",-89°,90°,No,,,No,,,10f42a05-8be3-4005-ad8a-86c3fc1d30b5,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,842,"8, 14",7.267,3 16-Bit RGBAL 1.5,22,LB2.4-T11,,,,,,,"15,7kg",Boom R_4,"5,146m","1,606m","-7,736m","90,1°","0,0°","-90,4°",-90°,89°,No,,,No,,,f0bfa165-3c8d-487e-a08e-c38e4ae69848,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,724,"2, 10",6.145,3 16-Bit RGBAL 1.5,22,LB1.2-T11,,,,,,,"15,7kg",Boom L_2,"-5,147m","0,373m","-3,821m","89,8°","0,8°","89,5°",89°,90°,No,,,No,,,dd90cd08-e874-4836-a687-44fe328ff7c2,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,723,"2, 11",6.123,3 16-Bit RGBAL 1.5,22,LB1.2-T11,,,,,,,"15,7kg",Boom L_2,"-5,147m","1,050m","-3,821m",90°,"0,0°","90,0°",-270°,90°,No,,,No,,,20e2a5ec-e4ee-41ca-936f-b61a7ceb4c81,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,722,"2, 13",6.101,3 16-Bit RGBAL 1.5,22,LB1.2-T11,,,,,,,"15,7kg",Boom L_2,"-5,147m","1,612m","-3,821m","89,9°","-0,0°","89,6°",89°,89°,No,,,No,,,21e1e27a-4cb7-4cc3-91ff-581e0631e687,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,734,"3, 10",6.228,3 16-Bit RGBAL 1.5,22,LB1.3-T11,,,,,,,"15,7kg",Boom L_3,"-5,158m","0,394m","-5,241m","89,8°","0,8°","89,5°",89°,90°,No,,,No,,,97798d86-6273-4473-b54e-ebbe170c1a48,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,733,"3, 11",6.206,3 16-Bit RGBAL 1.5,22,LB1.3-T11,,,,,,,"15,7kg",Boom L_3,"-5,158m","1,071m","-5,242m",90°,"0,0°","90,0°",-270°,90°,No,,,No,,,11fc24fd-1701-4543-8f49-9ddff82142ce,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,732,"3, 13",6.184,3 16-Bit RGBAL 1.5,22,LB1.3-T11,,,,,,,"15,7kg",Boom L_3,"-5,159m","1,633m","-5,242m","89,9°","-0,0°","89,6°",89°,89°,No,,,No,,,d07a2921-3692-41c9-9126-6beca5329ddd,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,744,"4, 10",6.311,3 16-Bit RGBAL 1.5,22,LB1.4-T11,,,,,,,"15,7kg",Boom L_4,"-5,221m","0,296m","-6,388m","89,8°","0,8°","89,5°",89°,90°,No,,,No,,,33b6af75-0711-4c79-9d2f-a7c923e4266f,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,743,"4, 11",6.289,3 16-Bit RGBAL 1.5,22,LB1.4-T11,,,,,,,"15,7kg",Boom L_4,"-5,221m","0,973m","-6,388m","90,0°","0,0°","90,0°",-270°,90°,No,,,No,,,0d853221-361f-4590-95d2-f5d9e83ec47f,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,742,"4, 13",6.267,3 16-Bit RGBAL 1.5,22,LB1.4-T11,,,,,,,"15,7kg",Boom L_4,"-5,222m","1,535m","-6,388m","89,9°","-0,0°","89,6°",89°,89°,No,,,No,,,21fb9c96-a883-480a-adc4-b082132961f0,
Robe Robin T2 Profile,5° - 55°,1150W,,,212,20,9.125,3 Five Colours 1.9,56,LX2-T2,,,,,,,"36,9kg",LX_1,"0,018m","7,160m","-3,596m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,927e985a-fb2f-4b43-94e0-1b1555ed6f3c,
Robe Robin T2 Profile,5° - 55°,1150W,,,213,20,9.181,3 Five Colours 1.9,56,LX2-T2,,,,,,,"36,9kg",LX_1,"2,7m","7,160m","-3,600m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,4528f19d-9b75-4588-a169-c7669fb8a64a,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,101,17,8.1,1 - Standard 16-Bit,17,LX1-PARFECT,,,,,,-3m,5kg,Pont de face,"-3,295m","6,973m","-1,799m",0°,0°,0°,0°,0°,No,,,No,,,4eca08ec-203d-42c9-9edd-14095de02cc9,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,102,17,8.18,1 - Standard 16-Bit,17,LX1-PARFECT,,,,,,,5kg,Pont de face,"-1,1m","6,973m","-1,793m",0°,0°,0°,0°,0°,No,,,No,,,df768001-37a5-4f84-bdda-3952393f2b60,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,103,17,8.35,1 - Standard 16-Bit,17,LX1-PARFECT,,,,,,,5kg,Pont de face,"1,1m","6,973m","-1,811m",0°,0°,0°,0°,0°,No,,,No,,,be88d089-2512-4ae2-9425-35fe6dec26fe,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,104,17,8.52,1 - Standard 16-Bit,17,LX1-PARFECT,,,,,,+3m,5kg,Pont de face,"3,3m","6,973m","-1,784m",0°,0°,0°,0°,0°,No,,,No,,,c6a8b209-3e98-4be3-b9cd-b65e99778521,
Robe Robin T1 Profile,10° - 45°,650W,,,111,19,8.69,3 Five Colours 2.0,53,LX1-T1,,,,,,,"24,3kg",Pont de face,"-2,7m","7,157m","-1,771m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,aaa402c5-8add-49a7-b950-60bf2bff7977,
Robe Robin T1 Profile,10° - 45°,650W,,,113,19,8.175,3 Five Colours 2.0,53,LX1-T1,,,,,,,"24,3kg",Pont de face,"2,7m","7,132m","-1,772m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,8e884ffa-3f86-4901-af71-841f4b648340,
Robe Robin T2 Profile,5° - 55°,1150W,,,211,20,9.69,3 Five Colours 1.9,56,LX2-T2,,,,,,,"36,9kg",LX_1,"-2,7m","7,160m","-3,592m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,2bf6cb27-1bb4-4de7-91b0-331231840493,
Robe Robin T2 Profile,5° - 55°,1150W,,,412,20,11.125,3 Five Colours 1.9,56,LX4-T2,,,,,,,"36,9kg",LX_3,"0,008m","7,160m","-6,769m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,cc2e9deb-ca69-46b7-a3e6-c4b5261f43f0,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,201,17,9.1,1 - Standard 16-Bit,17,LX2-PARFECT,,,,,,-3m,5kg,LX_1,"-3,3m","6,948m","-3,602m",0°,0°,0°,0°,0°,No,,,No,,,63e69c8a-abbc-409e-b1dc-5874778d776b,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,202,17,9.18,1 - Standard 16-Bit,17,LX2-PARFECT,,,,,,,5kg,LX_1,"-1,1m","6,973m","-3,586m",0°,0°,0°,0°,0°,No,,,No,,,187ed89c-e4cb-4c45-b2b5-7df690b7d445,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,203,17,9.35,1 - Standard 16-Bit,17,LX2-PARFECT,,,,,,,5kg,LX_1,"1,1m","6,948m","-3,602m",0°,0°,0°,0°,0°,No,,,No,,,47bce42b-55fc-41f8-9483-751f5d829ae7,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,204,17,9.52,1 - Standard 16-Bit,17,LX2-PARFECT,,,,,,,5kg,LX_1,"3,3m","6,948m","-3,602m",0°,0°,0°,0°,0°,No,,,No,,,156bd203-b3ae-44ee-b490-47ed1ad0597b,
Robe Robin T1 Profile,10° - 45°,650W,,,312,19,10.122,3 Five Colours 2.0,53,LX3-T1,,,,,,,"24,3kg",LX_2,"0,005m","7,157m","-5,258m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,fb4ae4e3-1daf-4fbc-92f3-82a1bf6d9d83,
Robe Robin T1 Profile,10° - 45°,650W,,,112,19,8.122,3 Five Colours 2.0,53,LX1-T1,,,,,,,"24,3kg",Pont de face,0m,"7,132m","-1,772m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,e05c1a51-db8e-4287-977b-e1715a94c338,
Robe Robin T1 Profile,10° - 45°,650W,,,704,23,5.227,3 Five Colours 2.0,53,LRang1-T1,,,,,,,"24,3kg",Premier étage,"-5,343m","1,938m","4,349m",-180°,"-27,4°",-180°,0°,0°,No,0°,0°,No,0°,0°,bd7d42ba-9427-4e8d-bc72-71734a11d7a1,
Robe Robin T1 Profile,10° - 45°,650W,,,804,23,5.280,3 Five Colours 2.0,53,LRang2-T1,,,,,,,"24,3kg",Premier étage,"5,404m","1,936m","4,318m",-180°,"26,7°",-180°,0°,0°,No,0°,0°,No,0°,0°,0e6d12c9-3bda-45bd-a96c-757d4c8b07dd,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,711,15,6.1,1 - Standard 16-Bit,17,LB1.1-PARFECT,,,,,,-3m,5kg,Boom L_1,"-4,859m","2,437m","-0,220m","93,3°","25,2°","82,2°",82°,115°,No,,,No,,,18dc0dc9-4af7-4c7e-8492-cd8044b3db04,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,721,15,6.84,1 - Standard 16-Bit,17,LB1.2-PARFECT,,,,,,-3m,5kg,Boom L_2,"-5,029m","2,498m","-1,286m","94,4°","24,2°","79,4°",80°,114°,No,,,No,,,b4c9f48d-4793-413a-baf3-6b1dc2fec57d,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,731,15,6.167,1 - Standard 16-Bit,17,LB1.3-PARFECT,,,,,,-3m,5kg,Boom L_3,"-5,101m","2,498m","-2,911m","94,3°","24,9°","79,9°",80°,115°,No,,,No,,,80f2f76f-3200-46cd-a502-fa31512f2ff5,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,741,15,6.250,1 - Standard 16-Bit,17,LB1.4-PARFECT,,,,,,-3m,5kg,Boom L_4,"-5,132m","2,495m","-4,449m","94,7°","25,3°","79,2°",80°,115°,No,,,No,,,5bdb21da-186e-4b9d-b25e-876bd7ccee54,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,811,16,7.1,1 - Standard 16-Bit,17,LB2.1-PARFECT,,,,,,-3m,5kg,Boom R_1,"5,010m","2,916m","-0,220m","92,5°","-22,6°","-83,6°",-84°,112°,No,,,No,,,15d8fac2-3350-4b36-a35c-eefe1135fc55,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,821,16,7.84,1 - Standard 16-Bit,17,LB2.2-PARFECT,,,,,,-3m,5kg,Boom R_2,"5,010m","2,934m","-1,307m","93,5°","-22,4°","-80,9°",-81°,112°,No,,,No,,,d083d247-6e55-487c-98f8-8a32093499ad,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,831,16,7.167,1 - Standard 16-Bit,17,LB2.3-PARFECT,,,,,,-3m,5kg,Boom R_3,"5,010m","2,942m","-2,810m","94,0°","-22,2°","-79,5°",-80°,112°,No,,,No,,,caad0572-6ea9-4cf5-88fc-d6e142097bdc,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,841,16,7.250,1 - Standard 16-Bit,17,LB2.4-PARFECT,,,,,,-3m,5kg,Boom R_4,"4,936m","2,916m","-4,433m","94,8°","-22,7°","-77,7°",-78°,113°,No,,,No,,,c1bef95b-6e70-4bab-8a7b-0c23a25c9228,
Vari-Lite VL3500 Spot,10° - 56°,1600W,,,501,,12.1,16-Bit Enhanced,31,LX5-VLSPOT,,,,,,,41kg,LX_4,"-3,286m","8,290m","-8,935m",-180°,"-0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,5200bc56-556b-490f-a64c-89d07b7abf82,
Robe Robin T11 Profile,"4,8° - 51,9°",420W,,,701,24,5.1,3 16-Bit RGBAL 1.5,22,LVB1_T11,,,,,,,"15,7kg",Balcon,"-9,988m","6,612m","2,291m","67,1°","-48,2°","60,5°",70°,37°,No,,,No,,,f483d6b4-2ede-4b4a-8791-5ae12267a6b7,
